epoch,train_loss,val_loss,learning_rate
1,0.10694182037964463,0.0976403674935922,9.5e-05
2,0.09677038481157273,0.09540027941782027,9.025e-05
3,0.0950952294171974,0.09458804561085998,8.573749999999999e-05
4,0.09463283733714371,0.09510572376549244,8.145062499999998e-05
5,0.09407269719786943,0.09419919305257499,7.737809374999998e-05
