epoch,train_loss,train_metric,val_loss,val_metric,learning_rate
1,1.035965332314968,0.62419676,0.9878251488089561,0.6412786,0.001
2,0.8876751334404945,0.68157636,0.8913860959798098,0.6795562,0.001
3,0.8710572336995601,0.68813076,0.8801869444519281,0.6825566,0.001
